,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
0,2021-01-04,101.9672159575107,102.63750282667283,99.85395711969423,101.57621765136719,6192000,0.0,0.0
1,2021-01-05,101.33416626647225,103.25193302031406,100.82214671335475,102.83300018310547,4322800,0.0,0.0
2,2021-01-06,101.42726378569841,103.363646532853,101.09212034474461,102.61888885498047,5539600,0.0,0.0
3,2021-01-07,102.66543762230494,103.91291762991972,101.70655771119267,103.6150131225586,5568800,0.0,0.0
4,2021-01-08,103.95944984027811,104.77869247459373,102.72128147894416,103.90359497070312,4242200,0.0,0.0
5,2021-01-11,103.53122254633377,104.24805992022159,102.61889311015388,103.186767578125,3177400,0.0,0.0
6,2021-01-12,102.88885224693284,103.0750469814806,100.85937580728104,101.3248519897461,5777100,0.0,0.0
7,2021-01-13,101.55759933842074,105.10453300189383,100.77560268984624,104.40631866455078,6047100,0.0,0.0
8,2021-01-14,103.94830646907585,104.36892704396801,102.58364111949646,102.85470581054688,4391000,0.45,0.0
9,2021-01-15,102.81731596948077,104.3315371900876,102.24714664678902,104.03243255615234,4480100,0.0,0.0
10,2021-01-19,104.44370776365864,105.7429443201252,103.30336900043642,105.21951293945312,6820300,0.0,0.0
11,2021-01-20,105.29428901082815,106.11682504167624,104.68673066554354,105.51861572265625,2952100,0.0,0.0
12,2021-01-21,104.92039500000743,106.1261625332591,103.06033832369678,105.5746841430664,5028100,0.0,0.0
13,2021-01-22,105.6214339475884,106.09813445152642,104.4437062271841,105.47187805175781,4163900,0.0,0.0
14,2021-01-25,105.67750810268572,107.86471660748812,105.63077723619021,107.22911834716797,4689300,0.0,0.0
15,2021-01-26,106.78980383618952,107.60299790747567,106.35984136795616,107.23846435546875,4142400,0.0,0.0
16,2021-01-27,107.67777782615323,110.0893131674275,106.08878565126452,106.82720184326172,9104900,0.0,0.0
17,2021-01-28,110.21081067617497,115.96857622143796,109.50043455075635,112.52886962890625,11296300,0.0,0.0
18,2021-01-29,112.39802371575662,116.57614681940777,111.89328329405205,115.51992797851562,10995100,0.0,0.0
19,2021-02-01,115.19278712347115,116.66961946470964,114.50110895184983,114.53849792480469,8337100,0.0,0.0
20,2021-02-02,115.34233638776045,115.64144102299545,112.37932998071113,112.388671875,7277000,0.0,0.0
21,2021-02-03,111.92131174538407,112.99622139614252,111.13616481306997,112.3699722290039,4991900,0.0,0.0
22,2021-02-04,112.0054526546565,112.97754454754595,111.03336076176703,111.92132568359375,4377900,0.0,0.0
23,2021-02-05,112.56626914774735,116.20226281352932,112.20173559172828,115.93119812011719,5803400,0.0,0.0
24,2021-02-08,116.83785771749106,117.58562285936976,115.6881700598155,116.3705062866211,3456000,0.0,0.0
25,2021-02-09,116.67896085786799,117.09957429646403,115.53862221660428,116.97806549072266,3424500,0.0,0.0
26,2021-02-10,117.57628396626161,117.95950846436693,116.6135410766989,117.10893249511719,4195400,0.0,0.0
27,2021-02-11,117.48280614350737,118.58575581658795,117.0247966022196,118.55770874023438,3697400,0.0,0.0
28,2021-02-12,118.15578947019358,120.14669682166016,118.00623359275536,119.85694122314453,3658700,0.0,0.0
29,2021-02-16,120.09999423151113,120.10933612708298,118.56707474278734,119.66068267822266,5174000,0.0,0.0
30,2021-02-17,119.0531031522682,119.64196337350917,118.13709123245441,118.93158721923828,3161800,0.0,0.0
31,2021-02-18,117.27718738131745,118.38948624118227,115.96860174580907,117.22110748291016,5427900,0.0,0.0
32,2021-02-19,117.07154440795583,117.20240225036952,114.66000908710213,115.00585174560547,6204200,0.0,0.0
33,2021-02-22,114.92171939036952,114.92171939036952,112.65974007032271,114.54784393310547,4842000,0.0,0.0
34,2021-02-23,114.26743340290314,115.13670741465245,112.36063856644603,112.91211700439453,5565900,0.0,0.0
35,2021-02-24,112.91212879597651,114.8843527583677,112.78127094236727,114.38895416259766,4127400,0.0,0.0
36,2021-02-25,113.71595989038016,114.74413166908603,112.88406773656487,113.64118194580078,3468900,0.0,0.0
37,2021-02-26,114.21134707839583,114.37024485634959,111.84654993528459,111.95870971679688,5197500,0.0,0.0
38,2021-03-01,113.0897028154213,114.92171965892176,112.73451827770356,114.23004150390625,3858600,0.0,0.0
