,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
0,2021-01-04,155.15459271240232,155.67189596570105,151.11191215237506,153.34400939941406,1049100,0.0,0.0,0.0
1,2021-01-05,152.63511255935393,154.8672100153223,152.63511255935393,154.73309326171875,811800,0.0,0.0,0.0
2,2021-01-06,152.88414896540806,155.67187653967196,152.33810752271165,153.53558349609375,1130400,0.0,0.0,0.0
3,2021-01-07,155.1162561623687,158.64163326163694,155.1162561623687,158.28717041015625,788900,0.0,0.0,0.0
4,2021-01-08,159.96363408699506,161.00784429578172,158.63204132477173,160.9024658203125,1287000,0.0,0.0,0.0
5,2021-01-11,159.58999458970996,160.58630266165858,158.25840205744433,158.92898559570312,982700,0.0,0.0,0.0
6,2021-01-12,159.1972605558328,160.09776494976205,158.25844335727254,159.86785888671875,700700,0.0,0.0,0.0
7,2021-01-13,159.599582708618,161.04612823295355,159.06310126389198,160.42344665527344,787600,0.0,0.0,0.0
8,2021-01-14,160.98871743192373,161.44854424029052,159.21644665276474,159.48468017578125,8034600,0.0,0.0,0.0
9,2021-01-15,159.743286989799,160.09773518284072,157.31002236335894,157.7315216064453,2269300,0.0,0.0,0.0
10,2021-01-19,159.07274277043405,159.609209774066,158.18181286840775,159.5229949951172,1266500,0.0,0.0,0.0
11,2021-01-20,161.27608124673648,163.05792620473184,161.0557351274979,162.74179077148438,1469800,0.0,0.0,0.0
12,2021-01-21,163.2399471483298,163.6806248146986,162.4735740865863,163.40281677246094,1078100,0.0,0.0,0.0
13,2021-01-22,162.5597770107874,163.75725310448743,162.5597770107874,163.4602813720703,661300,0.0,0.0,0.0
14,2021-01-25,164.76312816210054,165.74025808370075,160.50969093942115,163.96800231933594,732600,0.0,0.0,0.0
15,2021-01-26,164.43738928257355,164.43738928257355,161.9466481123568,162.20530700683594,1318400,0.0,0.0,0.0
16,2021-01-27,160.3851385043476,160.4138767579918,155.74851509314803,156.6873321533203,1144200,0.0,0.0,0.0
17,2021-01-28,156.75439394294898,161.22816226686962,156.75439394294898,159.28346252441406,897100,0.0,0.0,0.0
18,2021-01-29,158.60329585037886,159.38884710768974,155.39406900284771,156.9747314453125,1054700,0.0,0.0,0.0
19,2021-02-01,158.73743092248725,161.16112141047233,157.3196232948915,160.84498596191406,1120800,0.0,0.0,0.0
20,2021-02-02,162.74178217151552,164.60984179869098,162.6651419537818,164.12127685546875,2604900,0.0,0.0,0.0
21,2021-02-03,165.58698807371556,165.58698807371556,163.3453018795033,163.6422882080078,1052700,0.0,0.0,0.0
22,2021-02-04,164.32244992786843,165.4816131591797,163.80514671354197,165.4816131591797,613600,0.0,0.0,0.0
23,2021-02-05,166.0180747598112,166.90898988303724,165.44328043554307,166.79403686523438,709400,0.0,0.0,0.0
24,2021-02-08,167.97234730955128,168.79621136923805,167.4358804088486,168.41302490234375,2841300,0.0,0.0,0.0
25,2021-02-09,167.84781375328217,168.65251407559856,167.80948633738547,168.3172149658203,1216700,0.0,0.0,0.0
26,2021-02-10,169.32310940037232,169.39974961984558,166.14260607155347,167.74244689941406,825700,0.0,0.0,0.0
27,2021-02-11,168.94949160698872,169.76378112022755,167.9052960609308,169.30393981933594,768800,0.0,0.0,0.0
28,2021-02-12,169.06443605886759,170.64511304255782,168.31721225480527,170.5588836669922,525100,0.0,0.0,0.0
29,2021-02-16,171.1911435160809,171.84257797554994,169.1793928713052,170.1182098388672,1805300,0.0,0.0,0.0
30,2021-02-17,168.4992629870109,168.9878279925682,166.2575911483897,168.6717071533203,712800,0.0,0.0,0.0
31,2021-02-18,166.679094753489,168.0394258177967,165.42412755064348,167.48379516601562,578800,0.0,0.0,0.0
32,2021-02-19,168.68125843655332,169.0357066494881,167.01436660771836,167.2730255126953,629800,0.0,0.0,0.0
33,2021-02-22,165.16547097197653,165.22294748036828,161.15152913618334,161.3048095703125,821400,0.0,0.0,0.0
34,2021-02-23,157.35794094594232,160.69172507835967,152.95123747642384,159.9061737060547,4211000,0.0,0.0,0.0
35,2021-02-24,159.0535690375398,161.09407304988434,157.20467290096045,161.0078582763672,1673700,0.0,0.0,0.0
36,2021-02-25,159.8103687328407,161.10363407997863,153.9187778704543,154.80970764160156,2155800,0.0,0.0,0.0
37,2021-02-26,156.16046271321042,157.89442043730253,153.7271976361153,156.05508422851562,2657800,0.0,0.0,0.0
38,2021-03-01,158.6129033464819,161.017430123686,157.76028631945513,160.84498596191406,1506700,0.0,0.0,0.0
39,2021-03-02,161.51557765133396,161.63053067604486,157.87524748666797,157.93272399902344,1169700,0.0,0.0,0.0
40,2021-03-03,157.53036606465741,157.78902497519195,151.581298828125,151.581298828125,2812700,0.0,0.0,0.0
41,2021-03-04,151.5909124954115,152.41477670638332,145.0670498737238,147.40452575683594,3596400,0.0,0.0,0.0
42,2021-03-05,149.00434133733236,149.00434133733236,141.47461095022888,148.74569702148438,3726500,0.0,0.0,0.0
43,2021-03-08,148.6977737402109,149.83777317579217,143.6588002387217,143.69711303710938,2951900,0.0,0.0,0.0
44,2021-03-09,148.1134093894623,151.753739287039,147.96971811911624,150.88197326660156,2181100,0.0,0.0,0.0
45,2021-03-10,153.53558802341212,154.14869515515744,150.35508472786472,150.5658416748047,2115300,0.0,0.0,0.0
