,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
0,2021-01-01,1.000614047050476,1.0020519495010376,1.000607967376709,1.0019160509109497,60509986287,0.0,0.0
1,2021-01-02,1.0018880367279053,1.0019910335540771,0.9995409846305847,1.000599980354309,87333964442,0.0,0.0
2,2021-01-03,1.000427007675171,1.0019019842147827,0.9991689920425415,1.000514030456543,120425679796,0.0,0.0
3,2021-01-04,1.000499963760376,1.0029939413070679,0.9994300007820129,1.0001280307769775,125906387011,0.0,0.0
4,2021-01-05,1.0001740455627441,1.002832055091858,0.9998440146446228,1.002202033996582,101918715244,0.0,0.0
5,2021-01-06,1.0022289752960205,1.0028250217437744,0.999567985534668,1.001528024673462,116105139289,0.0,0.0
6,2021-01-07,1.0014480352401733,1.002573013305664,0.9990699887275696,1.0003999471664429,129467601516,0.0,0.0
7,2021-01-08,1.0003650188446045,1.0011780261993408,0.9991350173950195,1.0000449419021606,131555961745,0.0,0.0
8,2021-01-09,1.0000139474868774,1.0031570196151733,0.9996370077133179,1.0029469728469849,103292241007,0.0,0.0
9,2021-01-10,1.0029239654541016,1.002925992012024,0.9985399842262268,1.0002230405807495,135437984723,0.0,0.0
10,2021-01-11,1.0002520084381104,1.0010900497436523,0.9939529895782471,1.000586986541748,180779058885,0.0,0.0
11,2021-01-12,1.0005919933319092,1.0012890100479126,0.9990280270576477,1.0004140138626099,117509616511,0.0,0.0
12,2021-01-13,1.0004910230636597,1.0010600090026855,0.9992259740829468,1.0000170469284058,98217076295,0.0,0.0
13,2021-01-14,1.0000200271606445,1.0008699893951416,0.9989219903945923,0.9989640116691589,97567813514,0.0,0.0
14,2021-01-15,0.99897700548172,1.0001670122146606,0.9985640048980713,0.999845027923584,112214718054,0.0,0.0
15,2021-01-16,0.9998350143432617,1.001531958580017,0.9994239807128906,1.000195026397705,101603530718,0.0,0.0
16,2021-01-17,1.0002269744873047,1.0007230043411255,0.9992120265960693,1.0004140138626099,91132972168,0.0,0.0
17,2021-01-18,1.0004119873046875,1.0011320114135742,0.9998409748077393,1.0008039474487305,81024209658,0.0,0.0
18,2021-01-19,1.000769019126892,1.0022759437561035,1.0000920295715332,1.0004359483718872,103734629698,0.0,0.0
19,2021-01-20,1.000412940979004,1.0008549690246582,0.9988610148429871,1.0006860494613647,115893865966,0.0,0.0
20,2021-01-21,1.0006970167160034,1.0008189678192139,0.9981439709663391,0.9996960163116455,125636003892,0.0,0.0
21,2021-01-22,0.999754011631012,1.0016109943389893,0.9992600083351135,1.0013500452041626,121548669235,0.0,0.0
22,2021-01-23,1.0013619661331177,1.0019069910049438,1.000480055809021,1.0005550384521484,80722167203,0.0,0.0
23,2021-01-24,1.0005550384521484,1.0031269788742065,1.00027596950531,1.0014170408248901,84413124756,0.0,0.0
