,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
0,2021-01-04,215.10152374845916,215.5558354335868,207.63923086649962,210.423095703125,37130100,0.0,0.0
1,2021-01-05,210.00743315050906,211.2253813384584,208.4995113458299,210.62606811523438,23823000,0.0,0.0
2,2021-01-06,205.08735689378338,209.26315409193546,204.86503886453832,205.16468811035156,35930700,0.0,0.0
3,2021-01-07,206.8949399269411,212.01801901216683,206.57596892064734,211.00306701660156,27694500,0.0,0.0
4,2021-01-08,211.38004238315588,213.21662565195786,209.78512839261117,212.28866577148438,22956200,0.0,0.0
5,2021-01-11,211.17703308561838,211.60234736038112,209.49511247617113,210.22975158691406,23031300,0.0,0.0
6,2021-01-12,209.27281598324308,209.85279273562114,206.19897754413532,207.75521850585938,23249300,0.0,0.0
7,2021-01-13,206.87558746572185,209.5241113329817,206.78858063659325,209.11813354492188,20087100,0.0,0.0
8,2021-01-14,208.70250690024,210.20076782895143,205.6383294489561,205.9089813232422,29480800,0.0,0.0
9,2021-01-15,206.3922830115726,207.3492254082723,204.95201685720565,205.5513153076172,31746500,0.0,0.0
10,2021-01-19,206.6146233855392,209.73679578686028,205.53201580972006,209.21482849121094,30480900,0.0,0.0
11,2021-01-20,210.4327610321359,218.25269805550175,210.03644406447202,216.85110473632812,37777300,0.0,0.0
12,2021-01-21,217.1990767410522,218.74567154827727,214.99518872788025,217.46006774902344,30709400,0.0,0.0
13,2021-01-22,219.49961642995655,222.38980954947775,218.2623465743067,218.40733337402344,30172700,0.0,0.0
14,2021-01-25,221.47155714386156,222.10952869537653,216.73513386620408,221.8678741455078,33152100,0.0,0.0
15,2021-01-26,224.12005967845974,226.36260586490377,222.39948074464863,224.57437133789062,49169600,0.0,0.0
16,2021-01-27,230.05510919174017,232.4136597299159,222.45749028980077,225.12535095214844,69870600,0.0,0.0
17,2021-01-28,227.74490640736087,234.54023092621532,227.242260831807,230.95407104492188,49111200,0.0,0.0
18,2021-01-29,228.11222103772462,230.07445468944888,223.62711344100882,224.2167510986328,42503100,0.0,0.0
19,2021-02-01,227.21325082419088,234.40489193033207,224.67104047230671,231.6500244140625,33314200,0.0,0.0
20,2021-02-02,233.24496423335825,234.2212432621335,230.72209025361812,231.51470947265625,25916300,0.0,0.0
21,2021-02-03,231.57270584146227,236.90842714643014,231.27304184024314,234.88819885253906,27158100,0.0,0.0
22,2021-02-04,234.55955451872575,235.1201947934274,232.34599078331556,233.93124389648438,25296100,0.0,0.0
23,2021-02-05,234.1438655230578,235.15881733615248,232.3942893663826,234.1148681640625,18054800,0.0,0.0
24,2021-02-08,235.03316291717513,235.54546928183586,232.7712803166632,234.37586975097656,22211900,0.0,0.0
25,2021-02-09,233.79593915460745,236.5894651607238,233.32230567656157,235.6325225830078,23565000,0.0,0.0
26,2021-02-10,236.82143855399823,237.71072545129076,232.84863750501347,234.71421813964844,22186700,0.0,0.0
27,2021-02-11,236.60875817111753,236.96640211933098,234.066548054239,236.3284454345703,15751100,0.0,0.0
28,2021-02-12,235.78717041432645,237.1114473777548,234.62723152436828,236.81179809570312,16561100,0.0,0.0
29,2021-02-16,236.85039244734494,237.91367808016585,234.8108280057843,235.56478881835938,26728500,0.0,0.0
30,2021-02-17,233.80152000810648,236.69835508348032,233.43335443328655,236.59178161621094,21653500,0.56,0.0
